,normal,median,mean
C7,1.2702194138694263,-0.367975088604312,-0.08880344748918795
KRT17,-0.13207762995999836,-0.13197508059299523,0.05964958145013723
CLEC2A,-0.20765807173482984,-0.20765807173482984,0.07057078447838634
S100A7A,-0.15252142723783396,-0.1526977432116388,0.06884833047704338
KRTDAP,-0.17833229538803272,-0.17833229538803272,0.06856196614047046
WFDC5,-0.18672069329772456,-0.18672069329772456,0.07534264942333276
KRT6B,-0.1327309536849358,-0.13270640755368465,0.057272426381984716
S100A7,-0.18142280247968945,-0.1814207971179716,0.08403019377689094
KRT14,-0.1290250564904146,-0.12896522689460377,0.05539483321108453
PVRL4,-0.26193927841211967,-0.24349418955645202,0.07800252733775138
SERPINB4,-0.1686610884956366,-0.16841355150263318,0.06906955617033303
IL20RB,-0.25829664987192635,-0.23682204536513837,0.08264416694216467
AFAP1-AS1,-0.051436777444362564,-0.11000060102938555,0.026989949364571376
FKBP1B,-0.272172225367056,-0.2952624698634201,0.0171192115595507
ZSWIM7,0.45386519991931473,-0.04377463956416773,0.09986659304378596
PRG2,-0.49301197801103497,-0.2951681498957105,0.027665533549770305
PAX1,-0.24929588265269767,-0.22361605730594183,0.030894900736505387
DMBT1,-0.07669257487452913,-0.07652537424029233,-0.04048445859897963
ZNF653,-0.9049589312509254,-0.20755026754859374,0.03353153272414684
GRIK5,0.11461751198923063,-0.2000569604320577,-0.03890968749022642
MMP3,-0.3006961487207279,-0.2812550626408143,0.059467462250861455
ZNF593,-0.6008597119839215,-0.24699984407142858,0.017878248374320702
VDAC1,-0.09875824389541564,-0.2585137425074566,-0.021479929536370818
ADAMTSL3,0.04580335312868542,-0.2971081706209718,-0.04812268058110526
RGS4,-0.29378852056698745,-0.2887301279615016,-0.027149604428448403
MRPL44,0.392855310669847,-0.17931835061163023,0.010212249319868534
LYSMD2,2.3933677822987267,-0.15180414683236715,0.022804611215480077
TDRKH,0.6371548206586846,-0.15422078442818854,-0.01466092591661862
CSPG4,-0.09136766821116223,-0.09306568522728723,0.03686024222571483
PLA2G2F,-0.1858538993690569,-0.1858538993690569,0.055093756883969947
G6PC3,-0.2733020118742513,-0.2483552986322885,0.017224171803028397
DOCK11,1.3268923408732516,-0.3622357163279431,-0.03191421214263685
NUP214,-0.5150274998604449,-0.16111044957109857,0.0018320036105851556
IGF1R,-0.8065378749749423,-0.2583240071394654,-0.022587958838971457
TSPAN14,-0.3727523302158676,-0.20500583741345343,-0.006135214611941324
DLST,-0.12128029828232807,-0.13716848236757362,-0.034761601382463245
RARRES2,0.35760941612246594,-0.24482245988651696,0.010475000951856753
LPPR4,-0.21738497485417133,-0.18859700142943167,-0.04313945315269687
GSR,0.015079791607066392,-0.13757006738868818,-0.0562526541625933
FCER1A,-0.2530615740704416,-0.265569742833384,0.04282548418987919
PSMD9,0.2502043080114826,-0.08647200983810198,0.08097998167687165
PDK4,-0.39710668279484496,-0.33547179849865777,-0.08416624618203353
PRKRIP1,-0.5539375074511925,-0.09958357620187697,0.08719052074488996
HMG20B,-0.35052013060012416,-0.18291161679350285,0.09675937372340979
TAF5L,0.1493650828896383,-0.24470200728317673,-0.04563507526334379
RAX,-0.31536986117615945,-0.31536986117615945,0.015585506880615739
FAM98C,0.06070009494137802,-0.0801583311039201,0.08971703694829829
SLC40A1,0.6553764134132593,-0.39272654271067786,-0.07352372535707803
COQ4,-0.2374853001235655,-0.23397410075008002,0.062357224467277185
FBXW10,-0.08329567413988855,-0.07300617645542573,-0.038999676722305025
PSTPIP2,1.3849339295919976,-0.2791736726543184,0.04465932243032131
SSNA1,0.09159525140189342,-0.2409240364526941,0.044555156575568425
MRRF,0.16031628503620268,-0.08440518932738438,0.014688919762506757
PITHD1,0.13190114005273604,-0.07278404277444829,0.04588520359164594
WRAP73,-0.0831479795440035,-0.030247414605259603,0.037499328251493075
AP000322.53,0.02948758383971607,-0.24553196993025983,0.018612103855867347
RBPJL,-0.5750096848645603,-0.5750096848645603,0.014446296568778693
PARN,0.3636011758101489,-0.16831024813006623,-0.00571712399752667
CUL7,-0.4077550617726676,-0.21682236981391842,0.02437674728996592
ARHGAP22,0.11544578289850752,-0.2352660673145947,-0.011643073815759292
AMY1A,-0.04631708912456649,-0.04631762354108799,-0.04618743371875239
SLC35D2,1.4777934327062163,-0.13718749833548508,0.02741213559383541
TCF15,-0.3142865747094401,-0.33192669637157896,-0.007566129369136221
COX6A2,-0.0818147564880748,-0.20171311523608249,0.016101709892865034
CCRN4L,0.4426468708746954,-0.28640509455603846,-0.08639799819405482
SCN4A,-0.041747669659848954,-0.4552554847709997,-0.04965421084680705
GTF2I,-1.0252348200669867,-0.16114889606900412,-0.025934996918133932
TRMT10B,0.7164908094173353,-0.17932063627852893,0.044702114105914174
WFIKKN1,-0.41263321142384385,-0.21747672439656296,-0.00045437494916088233
PCDH20,-0.14870828211772616,-0.15028937133316167,-0.01576640528383311
CLIC5,0.00949009978675619,-0.18001378240891847,-0.07112937798642917
SMTN,-0.7761909016282583,-0.2810919105276544,-0.030558785597661852
CICP27,-0.8983051383702493,-0.14578089972588892,0.09068452942277937
RPE65,-0.23843165074268363,-0.2408838509772274,-0.05959301286724212
LONRF2,-0.2910213202712941,-0.2985009988135906,0.00077402931671625
HDLBP,-0.9564016668183896,-0.19637436979277742,-0.048857694404222114
PTGER1,-0.4335752498332797,-0.3019879213924161,0.0005242396108267491
SLC9A8,-0.4497773840923085,-0.0626083465861613,0.09075118141208242
LMX1B,-0.4065922826317308,-0.37730877757304127,0.013923190361921339
SMTNL2,-0.3976654221248468,-0.3248810643654359,-0.02906639924303185
XKRX,0.3029045575159661,-0.23442435284080007,0.05772393531501667
PGA3,-0.08034792027022804,-0.07506218249455981,0.03283004019903817
KRTAP13-2,-0.20298005153370866,-0.24508956067941456,-0.03595046881131351
PC,0.029367703033844804,-0.2296548597931919,-0.01974636596968683
FAM109B,-0.3466102536633932,-0.08249915107198634,0.03800528626739644
C1orf159,-0.8800932405065,-0.06447731618984409,0.06191404590605741
STK40,-0.35191169356991847,-0.18459500803226114,-0.05611929230929027
SNAP23,1.577580917990478,-0.028798229323261832,0.018194803054375572
GNG2,0.28109691973386103,-0.19778215402823532,-0.04866809149165309
SULT1A4,0.3960099321890185,-0.1633103454404597,0.07599420423768886
MIEN1,-0.21360486282297775,-0.20182233169630637,0.0534951276816737
PHGDH,-0.3091328309841406,-0.23883229483222063,-0.003751106951165486
RNF135,0.6168704996144329,0.0512367825770361,0.0767046382129769
GTF2H2C,0.3506692768766385,-0.21530445288817177,-0.03159256790711303
AKR1B15,-0.1851909144666655,-0.1851909144666655,0.0761643497257924
PTS,0.4797958798059719,-0.20760261180243703,-0.013000692268388127
ENTHD1,-0.44321262512569876,-0.4177748752945482,-0.041566613195200885
DDX3X,-0.2724854556083434,0.0018610306551281562,-0.04261554978500013
PABPC4L,-0.3782761138810479,-0.38669986456726796,-0.10223238227549099
TBC1D13,-0.46417945715791803,-0.21691836331047462,-0.0059481717378719766
SMARCAL1,0.27297998021735376,-0.12859057944906818,-0.05244562924779981
FN3KRP,-0.937846961137719,-0.20229147926250027,0.026804985799965517
BRAP,-0.3818077562851976,-0.15358753244586917,-0.05794528429512198
DYNC1LI2,-0.3742414878234827,-0.1609524245346339,-0.03521830578251949
KCTD2,-0.8656298570960006,-0.08171219772053274,0.006633159452184076
RPS28,0.3308364761313768,-0.22492282221704157,0.02879660049185196
TSHR,0.09812455136895216,-0.15857663286430418,-0.013439877693556859
PRUNE2,-0.366037838886334,-0.37684360497251035,-0.05284887177395491
SPSB3,-0.2714956138530958,-0.1054470327592377,0.10793850825043419
SAMD8,-0.40199783523301785,-0.2610538523893295,-0.07936236445328367
NKX6-1,-0.5641677444269197,-0.4536038505710222,-0.05534762507133418
ZC3H7A,-0.05910899901994607,-0.13084944050838296,-0.017868401181457837
SWI5,0.02252781928086828,-0.15294286972329782,0.026901986298489024
ZBTB17,-0.22053836196814347,-0.09422194518291654,0.05486797478374498
RPN2,-0.5743769241275339,-0.1741486532745708,0.018994998166394952
PTF1A,-0.06893345760655632,-0.06893345760655632,-0.054481001660132464
LAMA1,-0.6625938303175262,-0.39196447034929055,-0.024821228657638892
CCPG1,0.1438726242594143,-0.2290439421463264,0.020509917271372174
COBLL1,-0.34881310917456393,-0.2460174543411384,-0.012285510768593216
ATP12A,-0.10866095428294037,-0.10862615540225248,-0.019028686354275837
CIB2,-0.5307133629847035,-0.27270721678936566,-0.0163482249086311
LCE1F,-0.14774429511854417,-0.14774429511854417,0.06316450057161058
TMEM42,1.237589832553288,-0.1269798922387126,0.007997329217690507
GEMIN8P4,-0.11101041362696683,-0.11697659406432971,0.06312543537744127
ALAD,0.8932757470923722,-0.10230617203969447,0.08105646625702488
FAM186A,-0.05238897122254954,-0.07236863869116969,0.028487655084412606
LINC00882,-0.17943729944470224,-0.13161204810391725,-0.044971977622985146
DPP9,-0.7807510291562012,-0.24508614663706305,-0.031153269913424424
NAT2,-0.15209992186864585,-0.15209992186864585,-0.051377084632954574
AS3MT,-0.25091643602044045,-0.2148972952819929,0.02554172056798513
NUDT7,0.6974311869879932,-0.12079138888192366,0.06398289261681304
AQP1,-0.22918729143403957,-0.21493206402891094,0.04201026993683032
MRPL23,-0.2538304020128998,-0.2547613367935195,0.06043931025050502
LGALS8,0.09995997133400478,-0.13065163711082173,-0.03618166876859418
LINC00094,-0.7185193589298879,-0.2051365107605885,-0.03029975846358936
ADPRH,0.7511189230164144,0.0021993842162881623,0.03947950406973455
FAAH,-0.2977755052724657,-0.31613680088093604,0.031351375120082396
CASK,-0.7422905483571792,-0.20275016144312202,-0.06241104940546802
RDH12,0.06747942391056651,-0.21720713739342748,0.060470050434257
